SENTENCE A,SENTENCE B,label
nobody is sitting comfortably on the bench,two large persons are sitting on a park bench and they have a bottle of soda between them,0
two women with dogs are walking on a forest path,two men with dogs are walking on a forest path,0
a man is wearing a blue shirt and walking barefoot on a tennis court,a barefoot man in pajamas is looking toward the sky and is walking on the tennis court,0
there is no man standing beside a large and colorful birdcage,the man is standing next to a bird cage,0
the brown horse is very near a red barrel at the rodeo,a cowgirl is riding a horse and corners a barrel,0
some children are jumping off a trampoline,some children are jumping on a trampoline,0
a tan dog is resting in the snow,a tan dog is running through the snow,0
a tan dog is running through the snow,a yellow dog is stopping on white snow on a sunny day,0
two dogs and two people are walking in the woods,two men with dogs are walking on a forest path,0
the man is not exercising,the man is exercising,1
a group of kids is staring at a colorful structure,a group of kids is playing on a colorful structure,0
a tiger is walking around with no aim,a tiger is walking around a cage,0
a man in a white hat is touching a cardboard box,a man in a black hat is reaching for a box,0
the dog with the brown coat is playing outdoors,the furry brown dog is running through the grassy area,0
nobody is floating on a raft,four people are floating on a raft,1
a man is escaping a rising swamp,a man is coming out of the water,0
two spectators are kickboxing and some people are watching,two women are sparring in a kickboxing match,0
a man is fitting a silencer to a pistol,there is no man fixing a silencer to a gun,1
a bicycle is being ridden by a man,a monkey is riding a bike,0
a black dog is jumping from a dock into the water,a white dog is jumping from a dock into the water,0
the piano is being played by someone,a person is playing a keyboard,0
a woman is cutting garlic,a woman is slicing an onion,0
a wet boy is standing still on dirty and wet grass,a wet boy is jumping around on dirty and wet grass,0
an oriental man and two women are in front of a camera,an oriental man and two women are facing a camera,0
a woman is gracefully dancing on a stage,a woman is dancing and a man is playing the keyboard,0
a man is carefully climbing a rope,a panda is climbing,0
there is no person playing a piano,a monkey is teasing a dog at the zoo,0
there is no man fixing a silencer to a gun,a man is fitting a silencer to a pistol,1
a piece of wood is being screwed to a wall by a man,a man is massaging a woman,0
a racer is leaning on a racing motorcycle,the motorcycle racer is riding a red and black bike,0
a bike rider in a black and red uniform is standing on a dirt bike,a bike rider in a black and red uniform is jumping down off a dirt bike,0
a man is picking a can,a woman is slicing a tomato,0
a man is fixing a silencer to a gun,there is no man fixing a silencer to a gun,1
a man is not participating in a bmx race,a man is participating in a bmx race,1
a group of people is equipped with gear used for protection,a person in biking gear is standing steadily in front of some mountains ,0
there is no man playing a flute,a man is playing a flute,1
i was going to tell you everything,i was going to tell you nothing,1
the woman is walking the dog,the woman is not walking the dog,1
a horse is being ridden by a man,a woman is riding a horse,0
a man on a motorcycle is going around a corner,a woman on a motorcycle is going around a corner,0
a band is playing some instruments,there is no man playing an electronic keyboard,0
a dog is running through a field and is chasing a ball,there is no dog running through a field and chasing a ball,1
a dog is looking at a store counter,there is no dog looking around,1
a man is slicing a potato into pieces,there is no man slicing a potato into pieces,1
there is no woman putting on makeup,a girl is applying makeup to her face,1
people are not playing cricket,people are playing cricket,1
a man and a woman are silent,a man and woman are talking,1
the football is between the feet of a boy who is lying on the grass,the football isnt between the feet of a boy who is lying in the grass,1
the horse is being ridden by a man,a man is driving a motorbike,0
a woman is preparing an egg in a skillet,a woman is pouring a mixture into a bowl and mixing it,0
the man is not riding a horse by a creek,a man is riding a horse,0
there is no topless woman covered in mud,a topless woman is being smeared with a brown substance and a blurry crowd is in the background,0
the girl is carrying a sign and a group of people is following her,there is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign,1
there is no hamster singing,a person is slicing some onions,0
a man on a motorcycle is going around a corner,a motorcyclist on a bike is leaning into a sharp corner,0
a baby tiger is playing with a ball,there is no baby tiger playing with a ball,1
the motorcycle racer is riding a red and black bike,a man is leaning on a racing motorcycle,0
a man is playing a guitar,a girl is playing a guitar,0
